#{"t_start": 1771738114.2878625, "env_id": "None"}
r,l,t
137.474319,39,14003.290474
-109.733959,59,14013.160779
-155.807169,121,14034.286345
158.436378,56,14045.178168
-166.500488,22,14047.29769
-117.799195,176,14072.571708
-159.13214,330,14133.271679
-106.10088,57,14144.210568
-114.670953,90,14160.263312
-156.429913,39,14167.392346
-84.226293,97,14184.105457
-139.13087,53,14194.73223
-164.588305,306,14248.19904
-158.415239,52,14256.682077
-194.244226,139,14282.958531
-145.366457,35,14290.686724
174.292185,126,14311.379128
-146.818939,45,14320.002402
171.510688,140,14345.551879
-159.344486,466,14436.273553
158.551308,73,14451.322272
-123.519396,84,14464.550679
129.125102,62,14476.094426
-167.231304,486,14555.143546
-123.350779,109,14571.507184
-172.403532,375,14645.466601
-151.231695,239,14684.674831
-120.596705,51,14692.9348
-163.358399,279,14740.752052
-164.722824,425,14813.773462
-110.809911,150,14837.957508
-157.003823,160,14863.672977
-167.847782,373,14927.635991
-191.468824,115,14947.323246
-157.157551,346,15000.036479
-163.171017,17,15002.744842
163.755681,138,15024.866055
150.755128,42,15033.770992
-126.658024,123,15055.581691
137.572168,53,15066.088625
-67.973816,254,15103.084827
-137.886893,170,15128.28756
200.049897,223,15165.5245
-150.27745,244,15206.823453
185.630061,83,15221.957369
-145.44704,116,15241.36056
-161.510788,41,15247.565809
-158.537601,232,15279.672243
-162.00054,269,15333.215667
-160.138615,234,15372.338993
-127.375582,69,15383.194599
-164.726438,443,15461.489637
-154.520498,166,15491.075619
-156.973651,78,15504.888926
-134.175518,105,15521.825296
-148.238159,152,15546.349689
166.334282,84,15560.781952
160.722965,69,15571.598558
-180.247495,98,15586.304138
-134.708918,39,15591.956031
-148.483894,57,15601.604352
-153.957825,218,15639.478876
-140.519017,211,15677.456627
-183.447325,218,15716.405173
-119.146861,67,15729.447486
-160.061386,227,15764.801837
-128.513146,143,15789.755674
161.14275,163,15819.05072
-134.624647,216,15857.679272
-144.743412,197,15887.799975
-153.58671,158,15913.917528
138.986339,88,15929.225613
-102.605255,104,15944.214629
-152.157163,61,15954.192608
-163.896274,55,15963.819345
-25.47364,500,16053.656998
-98.296415,143,16081.475525
-137.899395,33,16087.65646
137.501521,45,16095.217759
-161.295194,348,16150.416119
-173.739413,41,16156.977592
-155.399437,121,16176.403751
-145.490474,47,16185.552098
-109.44626,88,16202.305502
-102.990726,107,16218.843519
124.098005,82,16234.318339
133.233916,32,16239.510241
-156.794511,141,16265.762694
-109.362724,105,16283.352245
-159.085595,271,16331.981007
-139.323569,25,16336.361346
-150.594729,153,16363.420067
-204.534167,258,16406.590131
-178.489208,97,16423.647597
-156.917129,27,16429.717918
-124.871731,64,16441.096915
167.803765,88,16456.877723
-155.466188,277,16500.253374
-155.812263,121,16522.598858
170.467021,76,16536.758562
-144.447873,24,16540.251253
-158.405238,189,16572.784297
-140.229965,102,16587.779137
161.587201,80,16604.036273
-152.837607,122,16623.275389
-123.622609,47,16631.593979
-155.040492,74,16643.669467
