#{"t_start": 1771773700.512724, "env_id": "None"}
r,l,t
146.500828,124,5276.582917
-126.594019,57,5287.502638
146.788346,42,5295.898585
145.564832,59,5307.815797
-127.247746,60,5319.452814
-118.664959,42,5327.062432
-144.713045,46,5343.111658
159.102264,52,5352.463059
-124.08512,52,5361.50255
-96.809081,140,5389.147058
-139.721062,47,5398.956414
165.638827,116,5421.280023
141.691895,44,5429.508538
158.485379,98,5453.249861
156.015131,47,5461.727327
137.467965,37,5469.035891
-167.100007,42,5482.763784
140.248139,128,5508.452172
132.561676,33,5514.62008
-155.624825,24,5518.962727
161.157355,111,5541.787339
135.093297,34,5548.395815
-157.137194,40,5556.001168
131.941508,39,5562.58916
138.560466,39,5569.255504
153.468646,51,5578.734423
-146.327167,56,5587.867131
148.975958,43,5595.78351
148.34867,58,5607.080483
-140.652522,32,5615.535169
-149.140613,87,5628.633802
143.073601,51,5637.673835
136.754874,40,5645.446532
140.889285,41,5653.190176
-137.678513,81,5667.31414
-136.199213,72,5686.989582
-125.777581,123,5707.321722
-133.392579,85,5720.697594
170.8379,162,5751.323175
-113.189879,56,5774.461229
-135.389531,75,5802.688715
-99.542134,122,5824.362264
-145.962797,46,5836.014114
-146.869726,19,5839.847351
-109.424341,47,5849.643363
-147.115717,18,5852.833815
147.02951,46,5861.182791
-127.44526,47,5875.968008
-119.145614,38,5886.453061
145.942116,43,5894.515345
-140.156643,48,5903.594187
136.597355,43,5911.475933
135.785841,49,5922.058306
146.739157,49,5931.399702
-149.285339,56,5940.942779
137.87837,42,5947.849945
-153.09829,23,5951.169133
142.732257,61,5963.858917
-149.87339,30,5973.346928
131.831838,39,5979.908669
-139.393191,22,5983.855749
137.425819,35,5990.243628
-135.686928,57,6003.180405
145.906123,51,6013.572287
135.160718,42,6022.495933
153.867971,47,6031.957846
-142.722402,56,6040.640262
-125.562725,46,6051.708555
166.730794,62,6062.500905
135.070914,66,6074.321929
-142.691208,38,6086.782756
155.831531,49,6096.07039
-135.683851,75,6107.928739
147.054102,48,6117.947506
-148.785287,78,6132.253199
-136.628549,31,6138.427153
136.365227,46,6147.685867
128.864584,44,6156.914123
-108.549063,63,6169.06688
150.438863,63,6179.884838
157.2943,62,6189.881814
133.933719,35,6196.869159
